model,mean_lead_time,median_lead_time,miss_rate,precision,recall,f1,false_positive_rate
PCA (SPE),38.333333333333336,33.0,0.97,0.02368421052631579,0.14634146341463414,0.04077010192525481,0.05719571417559547
PCA (Hotelling's T2),74.58823529411765,68.0,0.66,0.06499429874572406,0.926829268292683,0.121470431539691,0.1264164032991598
LSTM Autoencoder,90.90243902439025,82.0,0.59,0.07909967845659165,1.0,0.14660309892729442,0.1421622158244813
Transformer Autoencoder,71.51282051282051,72.0,0.61,0.08156498673740054,1.0,0.15082771305947273,0.13749627717661075
